UTC0;Input0;136_0;134_0;97_0;98_0;125_0;127_0;128_0 (Info_to_ignore: TickSize: 0.01 PointValue: 1000)
1/3/2019 9:28:00 AM;46.63;0;0.544927536231884;-0.150854956119311;0.0407845608750517;-0.681576144834931;40.9999999999997;59.0000000000003
1/3/2019 9:58:00 AM;46.71;0;0.523188405797101;-0.114895497660825;0.0613952154668298;-0.511182108626202;32.9999999999998;67.0000000000002
1/3/2019 10:28:00 AM;46.61;0;0.501449275362319;-0.0933899903482143;0.0663205782235526;-0.724174653887121;43;57
1/3/2019 10:58:00 AM;46.89;0;0.479710144927536;-0.0531404904269621;0.0852560625158438;-0.127795527156554;15.9999999999997;85.0000000000001
1/3/2019 11:28:00 AM;47.23;0;0.457971014492754;0.00612211481535496;0.115614934206529;0.596379126730552;1.00000000000051;119
1/3/2019 11:58:00 AM;47.08;0;0.436231884057971;0.0405173512323742;0.120008136498838;0.276890308839181;17.0000000000002;104
1/3/2019 12:28:00 PM;47.32;0;0.414492753623188;0.0861487489809605;0.13251162739794;0.788072417465383;4.99999999999972;128
1/3/2019 12:58:00 PM;47.44;0;0.392753623188406;0.130490741530636;0.141482895958092;1.04366347177848;8.00000000000054;140
1/3/2019 1:19:00 PM;47.86;0;0.377536231884058;0.19724881841109;0.166592778270837;1.93823216187433;3.00000000000011;182
1/3/2019 1:40:00 PM;47.85;0;0.36231884057971;0.246506584418157;0.172680435422323;1.91693290734824;28.9999999999999;181
1/3/2019 2:07:00 PM;48.05;0;0.342753623188406;0.298244075342005;0.179534341076937;2.34291799787006;9.00000000000034;201
1/3/2019 2:33:00 PM;47.85;0;0.323913043478261;0.319425937742835;0.160572962782214;1.91693290734824;32.9999999999998;181
1/3/2019 2:43:00 PM;47.68;0;0.316666666666667;0.318819978794849;0.127973603067382;1.55484558040468;50;164
1/3/2019 3:02:00 PM;47.35;0;0.302898550724638;0.288387162196905;0.0780326291755503;0.85197018104366;82.9999999999998;131
1/3/2019 3:11:00 PM;47.14;0;0.296376811594203;0.244505187230459;0.0273205233672834;0.404685835995735;104;110
1/3/2019 3:33:00 PM;47.17;0;0.280434782608696;0.209731501006267;-0.00596253028552662;0.468583599574012;101;113
1/3/2019 3:40:00 PM;46.58;0;0.27536231884058;0.133031530306319;-0.0661300007883801;-0.788072417465398;160;53.9999999999999
1/3/2019 3:53:00 PM;46.76;0;0.265942028985507;0.0857819061931906;-0.0907036999212066;-0.40468583599575;142;71.9999999999999
1/3/2019 4:12:00 PM;46.96;0;0.252173913043478;0.0637398142960848;-0.09019663345465;0.0212992545260873;122;92.0000000000002
1/3/2019 4:25:00 PM;47.1;0;0.242753623188406;0.056912080595545;-0.0776194937241518;0.319488817891371;108;106
1/3/2019 4:36:00 PM;46.91;0;0.234782608695652;0.0357574507094185;-0.0790192988882226;-0.0851970181043797;127;86.9999999999997
1/3/2019 4:44:00 PM;47.43;0;0.228985507246377;0.0602572996509494;-0.0436155599573534;1.02236421725239;75;139
1/3/2019 5:04:00 PM;47.35;0;0.214492753623188;0.072383878740176;-0.0251911846945014;0.85197018104366;82.9999999999998;131
1/3/2019 5:33:00 PM;47.57;0;0.193478260869565;0.0986097298358359;0.00082773312092678;1.32055378061767;60.9999999999999;153
